time,z0,z1,z2,z3,q,u
0,0.500000,0.000000,0.000000,0.000000,0.000000,1.000000
1,0.301175,0.227150,0.024165,0.002571,0.400000,0.000000
2,0.046657,0.427082,0.088624,0.014023,0.240000,0.000000
3,0.021061,0.363044,0.153825,0.036832,0.144000,0.000000
4,0.014376,0.293860,0.190980,0.065678,0.086400,0.000000
5,0.011025,0.235851,0.206699,0.094010,0.104580,0.131850
6,0.007953,0.189575,0.207978,0.118123,0.115488,0.000000
7,0.006104,0.151769,0.200041,0.136397,0.069293,0.000000
8,0.005547,0.120709,0.186466,0.148494,0.041576,0.000000
9,0.005555,0.095722,0.169816,0.154802,0.024945,0.000000
10,0.005347,0.076233,0.151978,0.156099,0.061126,0.115397
11,0.004564,0.061342,0.134278,0.153339,0.082835,0.000000
12,0.003956,0.049374,0.117486,0.147497,0.049701,0.000000
13,0.003853,0.039456,0.101938,0.139458,0.029820,0.000000
14,0.004018,0.031413,0.087788,0.129969,0.017892,0.000000
15,0.003940,0.025304,0.075144,0.119649,0.059099,0.120908
16,0.003372,0.020892,0.064070,0.109002,0.083822,0.000000
17,0.002913,0.017256,0.054496,0.098423,0.050293,0.000000
18,0.002831,0.014022,0.046228,0.088197,0.030176,0.000000
19,0.002949,0.011300,0.039086,0.078508,0.018106,0.000000
20,0.002896,0.009313,0.032963,0.069469,0.058017,0.117885
21,0.002493,0.008034,0.027795,0.061151,0.081964,0.000000
22,0.002168,0.006911,0.023471,0.053594,0.049178,0.000000
23,0.002116,0.005759,0.019825,0.046797,0.029507,0.000000
24,0.002209,0.004725,0.016722,0.040728,0.017704,0.000000
25,0.002184,0.004021,0.014095,0.035341,0.055208,0.111464
26,0.001907,0.003672,0.011914,0.030588,0.077711,0.000000
27,0.001684,0.003318,0.010123,0.026424,0.046626,0.000000
28,0.001657,0.002848,0.008625,0.022797,0.027976,0.000000
29,0.001739,0.002384,0.007346,0.019645,0.016786,0.000000
30,0.001734,0.002102,0.006261,0.016913,0.052095,0.105060
31,0.001538,0.002038,0.005369,0.014552,0.073281,0.000000
32,0.001379,0.001931,0.004649,0.012521,0.043969,0.000000
33,0.001370,0.001703,0.004046,0.010782,0.026381,0.000000
34,0.001445,0.001452,0.003521,0.009293,0.015829,0.000000
35,0.001452,0.001321,0.003067,0.008017,0.049313,0.099540
36,0.001305,0.001346,0.002698,0.006924,0.069404,0.000000
37,0.001187,0.001323,0.002408,0.005994,0.041642,0.000000
38,0.001189,0.001191,0.002163,0.005205,0.024985,0.000000
39,0.001260,0.001029,0.001939,0.004534,0.014991,0.000000
40,0.001274,0.000959,0.001738,0.003960,0.046942,0.094868
41,0.001159,0.001012,0.001578,0.003470,0.066113,0.000000
42,0.001066,0.001021,0.001458,0.003055,0.039668,0.000000
43,0.001075,0.000931,0.001356,0.002704,0.023801,0.000000
44,0.001144,0.000812,0.001253,0.002406,0.014280,0.000000
45,0.001163,0.000769,0.001154,0.002151,0.044892,0.090809
46,0.001069,0.000831,0.001079,0.001931,0.063258,0.000000
47,0.000993,0.000853,0.001029,0.001744,0.037955,0.000000
48,0.001007,0.000786,0.000984,0.001587,0.022773,0.000000
49,0.001076,0.000689,0.000932,0.001453,0.013664,0.000000
50,0.001099,0.000660,0.000877,0.001336,0.043047,0.087121
51,0.001019,0.000725,0.000838,0.001234,0.060677,0.000000
52,0.000956,0.000753,0.000817,0.001148,0.036406,0.000000
53,0.000974,0.000699,0.000797,0.001075,0.021844,0.000000
54,0.001044,0.000616,0.000768,0.001013,0.013106,0.000000
55,0.001072,0.000594,0.000733,0.000957,0.041302,0.083597
56,0.001003,0.000661,0.000711,0.000907,0.058220,0.000000
57,0.000948,0.000693,0.000703,0.000864,0.034932,0.000000
58,0.000971,0.000646,0.000696,0.000829,0.020959,0.000000
59,0.001044,0.000572,0.000678,0.000799,0.012576,0.000000
60,0.001077,0.000555,0.000653,0.000771,0.039563,0.080045
61,0.001016,0.000624,0.000640,0.000744,0.055756,0.000000
62,0.000969,0.000659,0.000640,0.000722,0.033453,0.000000
63,0.000998,0.000618,0.000640,0.000705,0.020072,0.000000
64,0.001076,0.000549,0.000628,0.000690,0.012043,0.000000
65,0.001115,0.000536,0.000610,0.000675,0.037733,0.076267
66,0.001062,0.000608,0.000602,0.000660,0.053146,0.000000
67,0.001022,0.000646,0.000607,0.000648,0.031888,0.000000
68,0.001058,0.000608,0.000611,0.000640,0.019133,0.000000
69,0.001144,0.000542,0.000604,0.000633,0.011480,0.000000
70,0.001193,0.000532,0.000589,0.000625,0.035699,0.072028
71,0.001147,0.000607,0.000585,0.000617,0.050231,0.000000
72,0.001116,0.000650,0.000594,0.000611,0.030138,0.000000
73,0.001162,0.000615,0.000603,0.000609,0.018083,0.000000
74,0.001261,0.000550,0.000598,0.000607,0.010850,0.000000
75,0.001322,0.000541,0.000587,0.000604,0.033317,0.067019
76,0.001288,0.000623,0.000586,0.000600,0.046798,0.000000
77,0.001267,0.000671,0.000599,0.000598,0.028079,0.000000
78,0.001329,0.000638,0.000611,0.000600,0.016847,0.000000
79,0.001448,0.000572,0.000609,0.000602,0.010108,0.000000
80,0.001530,0.000565,0.000601,0.000603,0.030384,0.060797
81,0.001513,0.000654,0.000603,0.000602,0.042549,0.000000
82,0.001510,0.000709,0.000619,0.000604,0.025529,0.000000
83,0.001598,0.000677,0.000635,0.000609,0.015318,0.000000
84,0.001750,0.000609,0.000637,0.000615,0.009191,0.000000
85,0.001868,0.000604,0.000630,0.000619,0.026579,0.052661
86,0.001883,0.000700,0.000635,0.000622,0.037012,0.000000
87,0.001916,0.000763,0.000656,0.000627,0.022207,0.000000
88,0.002050,0.000732,0.000675,0.000635,0.013324,0.000000
89,0.002260,0.000662,0.000680,0.000644,0.007995,0.000000
90,0.002447,0.000653,0.000675,0.000651,0.021265,0.041170
91,0.002534,0.000752,0.000681,0.000657,0.029227,0.000000
92,0.002648,0.000819,0.000703,0.000664,0.017536,0.000000
93,0.002878,0.000790,0.000725,0.000675,0.010522,0.000000
94,0.003204,0.000717,0.000731,0.000686,0.006313,0.000000
95,0.003544,0.000688,0.000725,0.000695,0.012824,0.022590
96,0.003837,0.000748,0.000723,0.000701,0.016731,0.000000
97,0.004183,0.000789,0.000733,0.000707,0.010038,0.000000
98,0.004663,0.000754,0.000741,0.000713,0.006023,0.000000
99,0.005269,0.000682,0.000736,0.000719,0.003614,0.000000
100,0.005995,0.000603,0.000716,0.000720,0.002638,0.001174